clave,fuente,usr_id,prp_id,url,fecha_scraping,fecha_publicacion,precio,moneda,precio_m2,superficie_cubierta_m2,superficie_total_m2,ambientes,dormitorios,banos,tipo_construccion,condicion,estado_conservacion,antiguedad,localidad,provincia,direccion,latitud,longitud,cochera,plantas,piscina,amoblado,tiene_expensas,valor_expensas,acepta_mascotas,zona_escolar,publicador,tipo_anunciante,es_dueno_directo,posible_duplicado_cruzado,motivo_sospecha,descripcion,id_publicado
inmoclick:1002-1191,inmoclick,1002,1191,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1191/ficha/departamento-en-alquiler-en-thomas-edison-1059-1o-1o,2026-09-08,,1000000.0,ARS,10526.315789473683,95.0,114.0,,2.0,1.0,Departamento,Alquiler,Excelente,13.0,Godoy Cruz,Mendoza,THOMAS EDISON 1059 1º 1º,-32.913710651885204,-68.84060586580603,Garage/Cochera,1.0,False,False,,85000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 2 Dormitorios En Zona Jumbo/Hospital Español, Godoy Cruz, Mendoza. NO SE ACEPTAN MASCOTAS. 
Características:
- Living.
- Cocina.
- 2 Dormitorios Con Placar.
- Baño.
- Lavandería.
- 2 Balcones.
- Cochera.
Detalles: 
- Terraza Compartida Con Churrasquera.
- Split, Calefacción Por Radiantes.
- Expensas: $85.000
Requisitos:
- Solicitante Alquiler.
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo.
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario).
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-1191
inmoclick:1002-1331,inmoclick,1002,1331,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1331/ficha/departamento-en-alquiler-en-adolfo-calle-210-1o-1o,2026-09-08,,550000.0,ARS,15277.777777777776,36.0,36.0,,1.0,1.0,Departamento,Alquiler,Muy Bueno,18.0,Godoy Cruz,Mendoza,ADOLFO CALLE 210 1º 1º,-32.9164798,-68.84382649999999,Sin Cochera,1.0,False,False,,20000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 1 Dormitorio En Calle Adolfo Calle 210 Cerca De La Universidad Champagnat, Godoy Cruz, Mendoza. NO SE PERMITEN MASCOTAS.
Características:
- Estar Cocina Comedor.
- Baño Completo.
- 1 Dormitorio Con Placar.
- Balcón.
Detalles:
- Ubicado En Planta Alta Por Escalera.
- Aire Acondicionado Frio/Calor.
- Calefactor A Gas.
- No Tiene Cochera.
- Expensas: $20.000 Aproximadamente (Luz Espacios Comunes, Focos, Productos De Limpieza).
Requisitos:
- Solicitante Alquiler.
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo.
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario).
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-1331
inmoclick:1002-1433,inmoclick,1002,1433,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1433/ficha/departamento-en-alquiler-en-dorrego-551-1o-3o,2026-09-08,,700000.0,ARS,10769.23076923077,65.0,70.0,4.0,2.0,1.0,Departamento,Alquiler,Excelente,6.0,Guaymallen,Mendoza,DORREGO 551 1º 3º,-32.90208997867705,-68.82883636934223,Garage/Cochera,1.0,False,False,,25000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento Primer Piso Por Escalera, Sobre Calle Dorrego Esquina Juan G. Godoy, Dorrego, Guaymallén, Mendoza. NO SE PERMITEN MASCOTAS. 
Superficie Total: 70M2 + Cochera (65 M2 Departamento, 5 M2 Patio + Cochera Con Porton Automático).
Caracteristicas:
- Living Comedor Amplio.
- Cocina y Lavanderia.
- Patio Tendedero.
- Baño Con Ante Baño.
- 2 Dormitorios Con Placar.
- Cochera Con Portón Automático.
Detalles:
- Abona Limpieza.
- Con Rejas.
- Carpintería De Aluminio.
- Termo tanque 80 Litros.
- Mesada De Granito Natural.
- Bajo Mesada y Alacena De Madera Placa Melamina.
- Horno Cocina.
- Extractor.
- Calefactor.
- Aire Acondicionado en Todos Los Ambientes.
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-1433
inmoclick:1002-1556,inmoclick,1002,1556,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1556/ficha/departamento-en-alquiler-en-tiburcio-benegas-475-1o4o,2026-09-08,,500000.0,ARS,9090.90909090909,55.0,55.0,,1.0,1.0,Departamento,Alquiler,Muy Bueno,10.0,Godoy Cruz,Mendoza,TIBURCIO BENEGAS 475 1º4º,-32.9373091,-68.85293879999999,Sin Cochera,1.0,False,False,,50000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 1 Dormitorio En Calle Tiburcio Benegas Cerca San Martin Sur, Godoy Cruz, Mendoza. NO SE PERMITEN MASCOTAS.
Caracteristicas:
- Estar Comedor,
- Cocina,
- 1 Dormitorio,
- Baño,
- Balcon.
Detalles:
- No Posee Cochera,
- Frontal, Ubicado En Primer Piso Por Escalera,
- Abona Expensas: $50.000 Aprox.
Requisitos:
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo.
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario).
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-1556
inmoclick:1002-1578,inmoclick,1002,1578,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1578/ficha/duplex-en-alquiler-en-cochabamba-4093-5o,2026-09-08,,700000.0,ARS,11666.666666666666,60.0,75.0,,2.0,2.0,Duplex,Alquiler,Muy Bueno,10.0,Guaymallen,Mendoza,COCHABAMBA 4093 5º,-32.912453728361825,-68.79424687116393,Garage/Cochera,2.0,False,False,,90000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Duplex 2 Dormitorios En Calle Cochabamba, Guaymallén, Mendoza. NO SE PERMITEN MASCOTAS. 
Caracteristicas:
PLANTA BAJA:
- Living Comedor Amplio, 
- Cocina Y Lavandería, 
- Toilette, 
- Patio Con Leonera, 
- Cochera Cubierta. 
PLANTA ALTA: 
- 2 Dormitorios Con Placard,
- Baño Completo
- Abona Expensas ($90.000 aprox, incluye luz de espacios comunes, agua, municipalidad y limpieza)
Requisitos: 
- Solicitante alquiler. 
- 1 garante propietario y 1 garante con bono de sueldo. 
- 3 garantes con bono de sueldo (en caso de no tener garante propietario). 
Contacto: 
- www.riverospropiedades.com 
- inmobiliaria@riverospropiedades.com",1002-1578
inmoclick:1002-1622,inmoclick,1002,1622,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1622/ficha/departamento-en-alquiler-en-jorge-newbery-811-planta-alta,2026-09-08,,450000.0,ARS,11250.0,40.0,55.0,,1.0,1.0,Departamento,Alquiler,Muy Bueno,10.0,Guaymallen,Mendoza,JORGE NEWBERY 811 PLANTA ALTA,-32.9012272,-68.7812259,Garage/Cochera,1.0,False,False,False,,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 1 Dormitorio En Calle Jorge Newbery, Villanueva, Guaymallén, Mendoza. NO SE PERMITEN MASCOTAS.
Características:
- Cocina Comedor Amplio.
- 1 Dormitorio Sin Placar.
- Baño Completo.
- Terraza.
- Cochera Semi-techada.
Detalles:
- Ubicado En Planta Alta Por Escalera.
- No Posee Aparato De Cocina.
- Posee Termo Tanque.
Requisitos:
- Solicitante Alquiler.
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo.
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario).
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-1622
inmoclick:1002-1646,inmoclick,1002,1646,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1646/ficha/departamento-en-alquiler-en-necochea-85-7o3o,2026-09-08,,450000.0,ARS,8181.818181818182,55.0,55.0,,1.0,1.0,Departamento,Alquiler,Muy Bueno,35.0,Capital,Mendoza,NECOCHEA 85 7º3º,-32.88725083225523,-68.83960041534424,Sin Cochera,1.0,False,,,46000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 1 Dormitorio Calle Necochea, Ciudad, Mendoza. NO SE PERMITEN MASCOTAS. 
Características: 
- Cocina Comedor,
- 1 Dormitorio Con Placard,
- 1 Baño Completo,
Detalles: 
- Aparato De Cocina Y Calefón Escorial Chico.
- Posee: Mesa, 4 Sillas, Heladerita, 1 A/A Frio-Calor, Cama Matrimonial, 2 Mesas De Luz, Aspiradora. 
- Expensas: $46.000 (aproximadamente)
Requisitos: 
- Solicitante Alquiler. 
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo. 
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario). 
Contacto: 
- www.riverospropiedades.com 
- inmobiliaria@riverospropiedades.com",1002-1646
inmoclick:1002-1663,inmoclick,1002,1663,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1663/ficha/departamento-en-alquiler-en-25-de-mayo-130-1o4o,2026-09-08,,630000.0,ARS,9692.307692307691,65.0,75.0,,2.0,1.0,Departamento,Alquiler,Excelente,15.0,Guaymallen,Mendoza,25 DE MAYO 130 1º4º,-32.89745516725097,-68.83258278650818,Garage/Cochera,1.0,False,False,False,,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 2 Dormitorios En Calle 25 De Mayo Casi Costanera, Dorrego, Guaymallén, Mendoza. NO SE PERMITEN MASCOTAS.
Características:
- Living Comedor Amplio.
- Cocina Y Lavandería.
- Baño Completo.
- 2 Dormitorios Con Placar.
- Cochera Con Porton Automatico.
Requisitos:
- Solicitante Alquiler.
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo.
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario).
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-1663
inmoclick:1002-1686,inmoclick,1002,1686,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1686/ficha/departamento-en-alquiler-en-sobremonte-174-2o,2026-09-08,,650000.0,ARS,10000.0,65.0,65.0,,2.0,1.0,Departamento,Alquiler,Excelente,20.0,Guaymallen,Mendoza,SOBREMONTE 174 2º,-32.89862305031293,-68.83148360370483,Garage/Cochera,1.0,False,False,False,,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 2 Dormitorios En Calle Sobremonte Cerca Adolfo Calle, Dorrego, Guaymallén, Mendoza. NO SE PERMITEN ANIMALES.
Características:
- Estar Cocina Comedor.
- 2 Dormitorios Con Placar.
- Baño.
- 2 Patios.
- Cochera Cubierta.
Requisitos:
- Solicitante Alquiler.
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo.
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario).
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-1686
inmoclick:1002-1688,inmoclick,1002,1688,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1688/ficha/departamento-en-alquiler-en-talcahuano-y-charcas-4290-1o8o,2026-09-08,,550000.0,ARS,8461.538461538461,65.0,80.0,,1.0,1.0,Departamento,Alquiler,Excelente,15.0,Guaymallen,Mendoza,TALCAHUANO Y CHARCAS 4290 1º8º,-32.91038381274054,-68.7922873989502,Garage/Cochera,1.0,False,False,,30000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 1 Dormitorio En Zona Carrefour, Calle Talcahuano Y Charcas, Villanueva, Guaymallén, Mendoza. NO SE PERMITEN MASCOTAS. 
Caracteristicas:
- Estar Comedor Con Desayunador.
- Cocina Y Lavandería. 
- 1 Dormitorio Con Placar.
- Baño Con Ante baño.
- Cochera.
- Balcón.
Detalles:
- Abona Expensas: $30.000 Aproximadamente
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-1688
